attribute,dataType,count,uniques,minValue,maxValue,valuesRange,attribute_type,description
rcn,int64,290,290,664087,704517,664087 to 704517,identifier,Programme Record Control Number
code,object,290,290,H2020-ARF-2018-2020-10,H2020-SWFS-2016-2017-35,H2020-ARF-2018-2020- to H2020-SWFS-2016-2017,identifier,Programme code
title,object,290,289," Mainstreaming SME support, especially through a dedicated instrument",Vaccine, Mainstreaming SME s to Vaccine,info,Programme title
shortTitle,object,97,97,A green economy and society through eco-innovation,Twinning of research institutions,A green economy and  to Twinning of research,info,Programme short title
language,object,290,1,en,en,en,info,Language
