code,title,description,language
ESV,Ahorro energ�tico,,es
ETH,Etyka bada?,,pl
ETH,Forschungsethik,,de
ETH,�thique de la recherche,,fr
ETH,Research ethics,,en
ETH,Etica della ricerca,,it
ETH,�tica de la investigaci�n,,es
EVA,Ocena,,pl
EVA,Bewertung,,de
EVA,Evaluation,,fr
EVA,Evaluation,Evaluation of Community RTD programmes; evaluation methodologies.,en
EVA,Valutazione,,it
EVA,Evaluaci�n,,es
FFU,Paliwa kopalne,,pl
FFU,Fossile Brennstoffe,,de
FFU,Combustibles fossiles,,fr
FFU,Fossil Fuels,Coal and hydrocarbons; petroleum products; coke; by-products; transporting and storage of hydrocarbons; liquefaction and gasification of solid fuels; exploration; mining;processing and utilization.,en
FFU,Combustibili fossili,,it
FFU,Combustibles f�siles,,es
FIS,Rozszczepienie jadra atomowego,,pl
FIS,Kernspaltung,,de
FIS,Fission nucl�aire,,fr
FIS,Nuclear Fission,Reactor operation; decommissioning; reactor physics; pressure vessels; safeguarding techniques; fuel fabrication and reprocessing; irradiation facilities; uranium; plutonium and thorium ores; Transuranic elements/actinides; fissile materials (excluding r...,en
FIS,Fissione nucleare,,it
FIS,Fisi�n nuclear,,es
FOO,Zywnosc,,pl
FOO,Lebensmittel,,de
FOO,Alimentation,,fr
FOO,Food,Nutritional and toxicological properties of foodstuffs; processed agricultural and aquacultural produce; food additives; food containers and handling; food technology.,en
FOO,Alimentari,,it
FOO,Alimentaci�n,,es
FOR,Prognozy,,pl
FOR,Prognostik,,de
FOR,Pr�visions,,fr
FOR,Forecasting,Identification of future developments in RTD and long-term strategic options; input to RTD policies; forecasting methodologies.,en
FOR,Previsioni,,it
FOR,Previsiones,,es
FPR,Programy finansowania,,pl
FPR,Finanzierungsprogramm,,de
FPR,Programmes de financement,,fr
FPR,Funding Programmes,,en
FPR,Programmi di finanziamento,,it
FPR,Programas de financiaci�n,,es
FUS,Synteza jadrowa,Synteza j?drowa,pl
FUS,Kernfusion,,de
FUS,Fusion nucl�aire,,fr
FUS,Nuclear Fusion,Tokamaks; plasma physics; electron dynamics and confinement; components and materials; instabilities and turbulence; MHD equilibrium; safeguarding techniques; electric and magnetic fields; impurities; ignition; modelling.,en
FUS,Fusione nucleare,,it
FUS,Fusi�n nuclear,,es
HCS,Opieka zdrowotna/s?u?by zdrowia,,pl
HCS,Gesundheitliche Versorgung/Leistungen,,de
HCS,Prestations/services de soins de sant�,,fr
HCS,Healthcare delivery/services,,en
HCS,Servizi/prestazioni sanitarie,,it
HCS,Servicios de salud,,es
HFC,Wod�r i ogniwa paliwowe,,pl
HFC,Wasserstoff- und Brennstoffzellen,,de
HFC,Hydrog�ne et piles � combustible,,fr
HFC,Hydrogen and fuel cells,,en
HFC,Idrogeno e pile a combustibile,,it
HFC,Hidr�geno y pilas de combustible,,es
IBI,Biotechnologia przemys?owa,,pl
IBI,Industrielle Biotechnologie,,de
IBI,Biotechnologie industrielle,,fr
IBI,Industrial biotech,,en
IBI,Biotecnologia industriale,,it
IBI,Biotecnolog�a industrial,,es
ICT,Technologie informacyjne i komunikacyjne,,pl
ICT,Anwendungen der Informations- und Kommunikationstechnologie,,de
ICT,Applications dans le domaine des technologies de l'information,,fr
ICT,Information and communication technology applications,,en
ICT,Applicazioni della tecnologia dell'informazione e della comunica,,it
ICT,Aplicaciones de tecnolog�a de la informaci�n y la comunicaci�n,,es
IND,Produkcja przemyslowa,Produkcja przemys?owa,pl
IND,Industrielle Fertigung,,de
IND,Fabrication industrielle,,fr
IND,Industrial Manufacture,Industrial processes; process control; plant design and maintenance; machine tools; advanced design and manufacturing techniques; use of automated tools.,en
IND,Produzione industriale,,it
IND,Producci�n industrial,,es
INF,Informacje i media,Informacje;media,pl
INF,Information und Medien,,de
INF,Information et m�dias,,fr
INF,Information and Media,Information services; the media industry; library sciences.,en
INF,Informazione e mass media,,it
INF,Informaci�n y Medios de comunicaci�n,,es
IPR,Prawa w?asno?ci intelektualnej,,pl
IPR,Rechte an geistigem Eigentum,,de
IPR,Droits de propri�t� intellectuelle,,fr
IPR,Intellectual property rights,,en
IPR,Diritti di propriet� intellettuale,,it
IPR,Derechos de la propiedad intelectual,,es
IPS,Przetwarzanie informacji i systemy informacyjne,,pl
IPS,Informationsverarbeitung und Informationssysteme,,de
IPS,Traitement de l'information et syst�mes d'information,,fr
IPS,Information Processing and Information Systems,Technical aspects of information systems; computer hardware and software; data processing; databases; systems design and documentation; advanced systems architecture; expert systems; artificial inteligence (AI); computer-integrated manufacturing (CIM) sy...,en
IPS,Elaborazione dati e Sistemi di informazione,,it
IPS,Tratamiento de la informaci�n y Sistemas de informaci�n,,es
ITT,Innowacja i transfer technologii,,pl
ITT,Innovation und Technologietransfer,,de
ITT,Innovation et Transfert de technologies,,fr
ITT,Innovation and Technology Transfer,Development of mechanisms to promote innovation and technology transfer;utilization of the results of research;property rights and patents.,en
ITT,Innovazione e trasferimento di tecnologie,,it
ITT,Innovaci�n y transferencia de tecnolog�as,,es
LEG,Prawodawstwo i przepisy,,pl
LEG,Gesetze und Vorschriften,,de
LEG,L�gislation et r�glements,,fr
LEG,Legislation and Regulations,Formulation;evaluation or application of laws and regulations;administrative measures;codes of conduct;decisions;directives or agreements for research and development in science and technology.,en
LEG,Legislazione e regolamentazione,,it
LEG,Legislaci�n y reglamentaci�n,,es
LIF,Nauki biologiczne,,pl
LIF,Biowissenschaften,,de
LIF,Sciences du vivant,,fr
LIF,Life Sciences,Biological sciences not included elsewhere; biochemistry; genetics; toxicology.,en
LIF,Scienze biologiche,,it
LIF,Ciencias de la vida,,es
MAT,Technologia materialowa,,pl
MAT,Werkstofftechnik,,de
MAT,Technologie des mat�riaux,,fr
MAT,Materials Technology,Plastics;rubber;polymers and composite materials; adhesives; ceramics; coatings; metals and alloys; iron and steel;steelworks;properties and utilization of steels; miscellaneous materials; properties of materials;corrosion and degradation.,en
MAT,Tecnologia dei materiali,,it
MAT,Tecnolog�a de materiales,,es
MBI,Biotechnologia medyczna,,pl
MBI,Medizinische Biotechnologie,,de
MBI,Biotechnologie m�dicale,,fr
MBI,Medical biotechnology,,en
MBI,Biotecnologia medica,,it
MBI,Biotecnolog�a m�dica,,es
MEA,Metody pomiarowe,,pl
MEA,Me�verfahren,,de
MEA,M�thodes de mesures,,fr
MEA,Measurement Methods,Test facilities and methods; applied metrology; biomedical analyses; environmental analyses; verification methods; recording devices; non-destructive testing; online testing.,en
MEA,Metodi di misurazione,,it
MEA,M�todos de medici�n,,es
MED,Medycyna i zdrowie,,pl
MED,Medizin und Gesundheit,,de
MED,M�decine et sant�,,fr
MED,Medicine and Health,"Human health (for veterinary medicine see ""Agriculture""); the effect of specific environments; public health;industrial medicine; medical research; nutrition; dentistry; nursing; physiology; pharmaceutical products; medical technology.",en
MED,Medicina e sanit�,,it
MED,Medicina y Sanidad,,es
MET,Meteorologia,,pl
MET,Meteorologie,,de
MET,M�t�orologie,,fr
MET,Meteorology,Climatology; weather forecasting; weather modifications; collection and analysis of meteorological data.,en
MET,Meteorologia,,it
MET,Meteorolog�a,,es
MST,Matematyka i statystyka,,pl
MST,Mathematik und Statistik,,de
MST,Math�matiques et statistique,,fr
MST,Mathematics and Statistics,Mathematical theory; statistical analysis; operational research; numerical analysis; mathematical modelling. (See also application area),en
MST,Matematica e statistiche,,it
MST,Matem�ticas y Estad�stica,,es
NET,Technologie sieciowe,,pl
NET,Netzwerktechnologien,,de
NET,Technologies de r�seaux,,fr
NET,Network technologies,,en
NET,Tecnologie di rete,,it
NET,Tecnolog�as de redes,,es
NNT,Nanotechnologie i nanonauki,,pl
NNT,Nanotechnologien und Nanowissenschaften,,de
NNT,Nanotechnologie et nanosciences,,fr
NNT,Nanotechnology and Nanosciences,,en
NNT,Nanotecnologia e nanoscienze,,it
NNT,Nanotecnolog�a y nanociencias,,es
OET,Inne zagadnienia dotyczace energii,,pl
OET,Sonstige Energiefragen,,de
OET,Autres th�mes li�s � l'�nergie,,fr
OET,Other Energy Topics,Demand analysis and utilization strategies; energy statistics; general energy topics not included elsewhere.,en
OET,Altri temi relativi all'energia,,it
OET,Otros temas relacionados con la energ�a,,es
OTH,Inny,Inny,pl
OTH,Andere,Andere,de
OTH,Autre,Autre,fr
OTH,Other,Other,en
OTH,Altro,Altro,it
OTH,Otro,Otro,es
PMM,Metodologia zarz?dzania projektami,,pl
PMM,Projektmanagementmethoden,,de
PMM,M�thodologies de gestion de projet,,fr
PMM,Project management methodologies,,en
PMM,Metodologie di gestione di progetti,,it
PMM,Metodolog�as de gesti�n de proyectos,,es
POL,Linie polityczne,,pl
POL,Strategien,,de
POL,Strat�gies,,fr
POL,Policies,Formulation;evaluation or application of policies;policy strategies or plans of action for research and development in science and technology.,en
POL,Politiche,,it
POL,Pol�ticas,,es
PSE,Nauki fizyczne i in?ynieria,,pl
PSE,Natur- und Ingenieurwissenschaften,,de
PSE,Sciences physiques et ing�nierie,,fr
PSE,Physical sciences and engineering,,en
PSE,Scienze fisiche e ingegneria,,it
PSE,Ciencias f�sicas e ingenier�a,,es
RAD,Ochrona przed promieniowaniem,,pl
RAD,Strahlenschutz,,de
RAD,Radioprotection,,fr
RAD,Radiation Protection,Radiation shielding; dosimetry; radiation and radioisotope effects on man;animals;plants and micro-organisms.,en
RAD,Protezione contro le radiazioni,,it
RAD,Protecci�n contra las radiaciones,,es
REF,Materialy referencyjne,,pl
REF,Referenzmaterialien,,de
REF,Mat�riaux de r�f�rence,,fr
REF,Reference Materials,Preparation and distribution of certified reference material (CRM) samples for standardization;harmonization and comparison of analyses and measurements; technical specification of CRMs; storage and preservation of CRMs.,en
REF,Materiali di riferimento,,it
REF,Materiales de referencia,,es
REG,Rozw�j regionalny,,pl
REG,Regionalentwicklung,,de
REG,D�veloppement r�gional,,fr
